period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-8,121,51,2,1,0.05,1.0,0.05
M-2022-8,121,119,3,1,0.05,-54.0,0.02837200157294534
M-2022-8,121,154,4,1,0.05,1.0,0.05
M-2022-8,121,156,5,1,0.05,1.0,0.05
M-2022-8,163,46,1,1638,0.7112462006079028,1348.0,0.6193577341947215
M-2022-8,163,26,2,124,0.053842813721233174,44.0,0.028494271262424556
M-2022-8,163,155,3,82,0.03560573165436387,20.0,0.015960611248787192
M-2022-8,163,61,4,43,0.018671298306556665,23.0,0.01233416269185451
M-2022-8,163,143,5,38,0.016500217108119844,-17.0,-0.0009269058323110799
M-2022-8,48,6,1,2644,0.5715520968439256,2644.0,0.5715520968439256
M-2022-8,48,177,2,1920,0.4150453955901427,1920.0,0.4150453955901427
M-2022-8,48,14,3,39,0.008430609597924773,39.0,0.008430609597924773
M-2022-8,48,96,4,5,0.00108084738434933,2.0,0.00048096736035412903
M-2022-8,48,117,5,5,0.00108084738434933,3.0,0.0006809273683525293
M-2022-8,7,5,1,8,0.5714285714285714,5.0,0.4880952380952381
M-2022-8,7,6,2,3,0.21428571428571427,1.0,0.15873015873015872
M-2022-8,7,14,3,1,0.07142857142857142,-3.0,-0.03968253968253968
M-2022-8,7,170,4,1,0.07142857142857142,1.0,0.07142857142857142
M-2022-8,56,96,1,4214,0.4127326150832517,4186.0,0.4099586899792295
M-2022-8,56,165,2,3149,0.3084231145935358,3145.0,0.30802683957867544
M-2022-8,56,14,3,872,0.08540646425073457,855.0,0.08372229543757824
M-2022-8,56,170,4,623,0.061018609206660135,623.0,0.061018609206660135
M-2022-8,56,90,5,362,0.035455435847208616,350.0,0.034266610802627676
M-2022-8,50,118,1,2819,0.31207793645521975,2818.0,0.31185796285205214
M-2022-8,50,14,2,2421,0.26801727000996345,2414.0,0.2664774547877901
M-2022-8,50,120,3,818,0.09055684711612974,817.0,0.09033687351296212
M-2022-8,50,68,4,663,0.07339754234473597,629.0,0.0659184398370369
M-2022-8,50,95,5,571,0.06321266467397321,568.0,0.06255274386447035
M-2022-8,47,14,1,3,0.3,3.0,0.3
M-2022-8,47,177,2,3,0.3,3.0,0.3
M-2022-8,47,6,3,2,0.2,2.0,0.2
M-2022-8,47,5,4,1,0.1,1.0,0.1
M-2022-8,104,117,1,379,0.2697508896797153,350.0,0.26112763663184135
M-2022-8,104,105,2,225,0.1601423487544484,185.0,0.1482482066194499
M-2022-8,104,110,3,174,0.12384341637010676,161.0,0.11997782017623225
M-2022-8,104,42,4,65,0.046263345195729534,57.0,0.04388451676872983
M-2022-8,104,53,5,61,0.04341637010676157,59.0,0.04282166300001164
M-2022-8,174,2,1,263,0.18534178999295278,263.0,0.18534178999295278
M-2022-8,174,117,2,227,0.15997181113460182,129.0,0.13689126473799323
M-2022-8,174,1,3,159,0.11205073995771671,158.0,0.11181522417815948
M-2022-8,174,28,4,143,0.10077519379844961,138.0,0.09959761490066346
M-2022-8,174,93,5,57,0.040169133192389,57.0,0.040169133192389
M-2022-8,10,12,1,71,0.05334335086401202,-37.0,-0.0001219956706414449
M-2022-8,10,138,2,33,0.024793388429752067,8.0,0.01241715080598969
M-2022-8,10,156,3,19,0.014274981217129978,-43.0,-0.016418088089800713
M-2022-8,10,61,4,11,0.008264462809917356,-1.0,0.002323868750511415
M-2022-8,10,28,5,10,0.007513148009015778,-5.0,8.740543475835218e-05
M-2022-8,66,86,1,151,0.05067114093959731,150.0,0.05047692847115684
M-2022-8,66,133,2,119,0.03993288590604027,67.0,0.02983383754713563
M-2022-8,66,68,3,90,0.030201342281879196,89.0,0.030007129813438723
M-2022-8,66,32,4,85,0.028523489932885907,78.0,0.027164002653802588
M-2022-8,66,61,5,65,0.02181208053691275,61.0,0.021035230663150856
M-2022-8,26,13,1,37,0.033544877606527655,7.0,0.02046158061568596
M-2022-8,26,155,2,24,0.021758839528558477,13.0,0.016961630631916524
M-2022-8,26,136,3,17,0.015412511332728921,-1.0,0.007562533138223906
M-2022-8,26,159,4,15,0.013599274705349048,8.0,0.010546505407485987
M-2022-8,26,153,5,9,0.008159564823209429,0.0,0.004234575725956921
M-2022-8,109,107,1,36,0.02750190985485103,-6.0,0.005005926994647497
M-2022-8,109,65,2,20,0.015278838808250574,-15.0,-0.0034678135752523737
M-2022-8,109,18,3,17,0.012987012987012988,17.0,0.012987012987012988
M-2022-8,109,129,4,5,0.0038197097020626434,5.0,0.0038197097020626434
M-2022-8,109,53,5,4,0.0030557677616501145,3.0,0.002520149122121459
M-2022-8,69,110,1,10,0.019342359767891684,1.0,0.009103451918062333
M-2022-8,69,104,2,9,0.017408123791102514,-19.0,-0.014446256186144354
M-2022-8,69,115,3,3,0.005802707930367505,-9.0,-0.007849169202738298
M-2022-8,69,117,4,3,0.005802707930367505,2.0,0.004665051502608688
M-2022-8,69,105,5,2,0.0038684719535783366,-10.0,-0.009783405179527466
M-2022-9,7,5,1,15,0.8823529411764706,12.0,0.7990196078431372
M-2022-9,7,14,2,1,0.058823529411764705,-3.0,-0.0522875816993464
M-2022-9,121,14,1,124,0.7515151515151515,123.0,0.7511219151801141
M-2022-9,121,99,2,6,0.03636363636363636,6.0,0.03636363636363636
M-2022-9,121,51,3,5,0.030303030303030304,5.0,0.030303030303030304
M-2022-9,121,2,4,4,0.024242424242424242,3.0,0.023849187907386885
