period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-7,48,6,1,4498,0.4735437972432192,0.47598932859048465,0.0024455313472654394,2130,2141,11
M-2022-7,48,177,2,4498,0.41507336594041794,0.41529568697198754,0.0002223210315696056,1867,1868,1
M-2022-7,48,14,3,4498,0.007781236104935527,0.005113383726100489,-0.002667852378835038,35,23,-12
M-2022-7,48,117,4,4498,0.0015562472209871053,0.0008892841262783459,-0.0006669630947087594,7,4,-3
M-2022-7,48,83,5,4498,0.0011116051578479323,0.0011116051578479323,0.0,5,5,0
M-2022-7,56,96,1,8114,0.49654917426669953,0.4940842987429135,-0.0024648755237860476,4029,4009,-20
M-2022-7,56,165,2,8114,0.15886122750801085,0.160956371703229,0.0020951441952181404,1289,1306,17
M-2022-7,56,14,3,8114,0.10192260290855312,0.10401774710377126,0.0020951441952181404,827,844,17
M-2022-7,56,170,4,8114,0.06285432585654424,0.05644564949470052,-0.006408676361843724,510,458,-52
M-2022-7,56,118,5,8114,0.042765590337687946,0.04917426669953168,0.006408676361843731,347,399,52
M-2022-7,66,133,1,2587,0.04329339002705837,0.04136064940085041,-0.0019327406262079627,112,107,-5
M-2022-7,66,86,2,2587,0.03247004252029378,0.03208349439505218,-0.0003865481252415953,84,83,-1
M-2022-7,66,32,3,2587,0.02512562814070352,0.026285272516428294,0.0011596443757247756,65,68,3
M-2022-7,66,115,4,2587,0.021646695013529185,0.018940858136838035,-0.00270583687669115,56,49,-7
M-2022-7,66,61,5,2587,0.015461925009663703,0.013915732508697333,-0.0015461925009663709,40,36,-4
M-2022-7,69,104,1,605,0.01652892561983471,0.01652892561983471,0.0,10,10,0
M-2022-7,69,28,2,605,0.006611570247933884,0.006611570247933884,0.0,4,4,0
M-2022-7,69,105,3,605,0.006611570247933884,0.0049586776859504135,-0.0016528925619834706,4,3,-1
M-2022-7,69,45,4,605,0.003305785123966942,0.003305785123966942,0.0,2,2,0
M-2022-7,69,61,5,605,0.003305785123966942,0.003305785123966942,0.0,2,2,0
M-2022-7,104,117,1,1719,0.283304246655032,0.2617801047120419,-0.021524141942990127,487,450,-37
M-2022-7,104,105,2,1719,0.08376963350785341,0.089586969168121,0.005817335660267597,144,154,10
M-2022-7,104,42,3,1719,0.06340895869691682,0.07678883071553229,0.013379872018615471,109,132,23
M-2022-7,104,53,4,1719,0.058173356602675974,0.03723094822571262,-0.020942408376963352,100,64,-36
M-2022-7,104,110,5,1719,0.04246655031995346,0.04246655031995346,0.0,73,73,0
M-2022-7,109,65,1,1236,0.022653721682847898,0.022653721682847898,0.0,28,28,0
M-2022-7,109,107,2,1236,0.021035598705501618,0.024271844660194174,0.0032362459546925564,26,30,4
M-2022-7,109,106,3,1236,0.0024271844660194173,0.0024271844660194173,0.0,3,3,0
M-2022-7,109,3,4,1236,0.0016181229773462784,0.0016181229773462784,0.0,2,2,0
M-2022-7,109,14,5,1236,0.0016181229773462784,0.0016181229773462784,0.0,2,2,0
M-2022-7,118,90,1,1354,0.014771048744460856,0.013293943870014771,-0.001477104874446085,20,18,-2
M-2022-7,118,137,2,1354,0.005908419497784343,0.005908419497784343,0.0,8,8,0
M-2022-7,118,111,3,1354,0.0051698670605613,0.0051698670605613,0.0,7,7,0
M-2022-7,118,25,4,1354,0.004431314623338257,0.0051698670605613,0.0007385524372230425,6,7,1
M-2022-7,118,175,5,1354,0.004431314623338257,0.0029542097488921715,-0.0014771048744460858,6,4,-2
M-2022-7,139,133,1,1011,0.1632047477744807,0.15924826904055392,-0.003956478733926794,165,161,-4
M-2022-7,139,61,2,1011,0.09495548961424333,0.10089020771513353,0.0059347181008902045,96,102,6
M-2022-7,139,68,3,1011,0.07418397626112759,0.0751730959446093,0.0009891196834817123,75,76,1
M-2022-7,139,32,4,1011,0.06330365974282888,0.06330365974282888,0.0,64,64,0
