norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,168,,2156,0.6869498660543437,0.8325602968460112,0.7527783602432375
gn,M-2022-7,169,,2090,0.8778821520068317,0.9837320574162679,0.927797833935018
gn,M-2022-7,170,,1882,0.5824829931972789,0.7279489904357067,0.6471421823334907
gn,M-2022-7,171,,6243,0.7180790034420587,0.7017459554701265,0.7098185353208036
gn,M-2022-7,172,,5217,0.847211155378486,0.8152194747939429,0.8309074924294226
gn,M-2022-7,173,degraded_noncollapsed,1718,0.9952988582941572,0.8626309662398137,0.9242282507015903
gn,M-2022-7,174,final_collapsed;abrupt_collapsed,1067,0.0,0.0,0.0
gn,M-2022-7,175,,32188,0.729845880260818,0.7650366596247049,0.747027059822837
gn,M-2022-7,176,degraded_noncollapsed,1623,0.5485122897800776,0.7837338262476895,0.6453576864535768
gn,M-2022-7,177,,1188,0.37458962573867366,0.9604377104377104,0.5389702409069438
gn,M-2022-10,0,,1642,0.9252396166134186,0.881851400730816,0.9030246336139695
gn,M-2022-10,1,,4956,0.8567593480345158,0.9015334947538337,0.8785763445088979
gn,M-2022-10,2,absorber,5086,0.40220765781303897,0.6877703499803381,0.5075818036711891
gn,M-2022-10,3,,1139,0.8167655786350149,0.9666374012291484,0.8854041013268998
gn,M-2022-10,4,,972,0.8296557811120918,0.9670781893004116,0.8931116389548693
gn,M-2022-10,5,absorber,2902,0.532555615843733,0.6764300482425913,0.5959319975713419
gn,M-2022-10,6,degraded_noncollapsed,2429,0.33285968028419183,0.3857554549197201,0.35736079328756676
gn,M-2022-10,7,,39,0.25,0.02564102564102564,0.046511627906976744
gn,M-2022-10,8,stable,1940,0.9035639412997903,0.8886597938144329,0.896049896049896
gn,M-2022-10,9,degraded_noncollapsed,1291,0.5057471264367817,0.20449264136328427,0.2912300055157198
gn,M-2022-10,10,final_collapsed;gradual_collapsed,1434,0.7194968553459119,0.398884239888424,0.5132346343651862
gn,M-2022-10,11,degraded_noncollapsed,2001,0.30226480836236935,0.17341329335332334,0.2203874245792315
gn,M-2022-10,12,degraded_noncollapsed,2580,0.7142210144927537,0.6112403100775193,0.6587301587301587
gn,M-2022-10,13,absorber,1607,0.300739787713091,0.5818294959551961,0.39652247667514845
gn,M-2022-10,14,absorber;degraded_noncollapsed,10007,0.41714285714285715,0.3063855301289098,0.35328685832805207
gn,M-2022-10,15,stable,951,0.8444976076555024,0.7423764458464774,0.7901510912143257
gn,M-2022-10,16,,2405,0.37068160597572364,0.16507276507276508,0.2284234752589183
gn,M-2022-10,17,,11892,0.9212100495641771,0.9064917591658258,0.9137916419428669
gn,M-2022-10,18,,43004,0.8917678986818299,0.9627709050320901,0.9259101887467573
gn,M-2022-10,19,degraded_noncollapsed,29160,0.8097567366903962,0.6358367626886146,0.7123345563516914
gn,M-2022-10,20,,2388,0.5920745920745921,0.8509212730318257,0.6982817869415807
gn,M-2022-10,21,,3959,0.9112860892388451,0.8769891386713816,0.8938087269918908
gn,M-2022-10,22,,1178,0.7078066914498141,0.8081494057724957,0.7546571541815299
gn,M-2022-10,23,,8236,0.8797653958944281,0.9470616804273919,0.9121740147351187
gn,M-2022-10,24,degraded_noncollapsed,12024,0.9547882487600152,0.8325016633399867,0.8894615247911853
gn,M-2022-10,25,,46993,0.8952174853927721,0.8803013214734109,0.8876967479587566
gn,M-2022-10,26,final_collapsed;abrupt_collapsed,1400,0.47703703703703704,0.69,0.5640875912408759
gn,M-2022-10,27,,10235,0.9748666393106278,0.9284807034684904,0.9511084421758494
gn,M-2022-10,28,degraded_noncollapsed,11735,0.6979026620059156,0.4423519386450788,0.54149063787618
gn,M-2022-10,29,,34921,0.8156613206934614,0.7194524784513616,0.7645420933311018
gn,M-2022-10,30,,991,0.9107142857142857,0.3087790110998991,0.4611906556141673
gn,M-2022-10,31,,1938,0.924422236102436,0.7636738906088751,0.8363944617123481
gn,M-2022-10,32,degraded_noncollapsed,1783,0.38412228796844183,0.4369040942232193,0.40881658357386513
gn,M-2022-10,33,,124,0.5,0.45161290322580644,0.4745762711864407
gn,M-2022-10,34,degraded_noncollapsed,1682,0.7705078125,0.4690844233055886,0.5831485587583148
gn,M-2022-10,35,,2194,0.967911877394636,0.9211485870556062,0.9439514245679589
gn,M-2022-10,36,degraded_noncollapsed,2648,0.9768307819611088,0.8916163141993958,0.9322803553800593
gn,M-2022-10,37,,1115,0.9668292682926829,0.8887892376681614,0.9261682242990654
gn,M-2022-10,38,final_collapsed;abrupt_collapsed,92,0.4098360655737705,0.2717391304347826,0.32679738562091504
gn,M-2022-10,39,,4329,0.8869893428063943,0.9228459228459228,0.9045624363183516
gn,M-2022-10,40,degraded_noncollapsed,981,0.9488,0.6044852191641182,0.7384806973848069
gn,M-2022-10,41,,2408,0.66925536774783,0.6083887043189369,0.6373721992603872
gn,M-2022-10,42,degraded_noncollapsed,2235,0.639269406392694,0.2505592841163311,0.3600128576020572
gn,M-2022-10,43,,2062,0.7376325088339223,0.8098933074684772,0.77207582061951
gn,M-2022-10,44,stable,1081,0.9857006673021925,0.9565217391304348,0.9708920187793427
gn,M-2022-10,45,absorber,1536,0.7743813682678311,0.6927083333333334,0.7312714776632302
gn,M-2022-10,46,absorber,11714,0.6789306751246036,0.6395765750384156,0.6586663150028572
gn,M-2022-10,47,final_collapsed;gradual_collapsed,34,0.0,0.0,0.0
gn,M-2022-10,48,final_collapsed;abrupt_collapsed,2986,0.0,0.0,0.0
gn,M-2022-10,49,,42912,0.8615938127172157,0.8203532811334825,0.8404679479527277
