period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-4,107,3873,0.0,4.048702716827393,0.0,92,4.58973503112793,0.0,0.5410323143005371,0.0,92,0.0020655822359927703,4.58973503112793,92,4.58973503112793,4.58973503112793,0.0
M-2022-4,108,11663,0.0,7.396543979644775,0.0,140,4.718382358551025,0.0,-2.67816162109375,0.0,142,0.009860241790276943,4.79511022567749,142,4.79511022567749,4.79511022567749,0.0
M-2022-4,109,1867,0.0,4.083592414855957,0.0,65,4.663039684295654,0.0,0.5794472694396973,0.0,107,0.022495982860203535,6.8945512771606445,107,6.8945512771606445,6.8945512771606445,0.0
M-2022-4,110,9808,0.0,6.433478355407715,0.0,168,2.8041439056396484,0.0,-3.6293344497680664,0.0,168,0.03945758564437194,2.8041439056396484,168,2.8041439056396484,2.8041439056396484,0.0
M-2022-4,111,2817,0.0,8.156765937805176,0.0,176,3.371791124343872,0.0,-4.784974813461304,0.0,153,0.037983670571529994,6.319734573364258,153,6.319734573364258,6.319734573364258,0.0
M-2022-4,112,3822,0.0,6.795312404632568,0.0,46,3.9731643199920654,0.0,-2.822148084640503,0.0,46,0.01282051282051282,3.9731643199920654,46,3.9731643199920654,3.9731643199920654,0.0
M-2022-4,113,5042,0.0,5.424196720123291,0.0,164,6.201117038726807,0.0,0.7769203186035156,0.0,14,0.002578341927806426,6.871761798858643,14,6.871761798858643,6.871761798858643,0.0
M-2022-4,114,3329,0.0,5.527435302734375,0.0,28,6.747882843017578,0.0,1.2204475402832031,0.0,117,0.009312105737458696,8.838899612426758,117,8.838899612426758,8.838899612426758,0.0
M-2022-4,115,22978,0.0,7.337362766265869,0.0,160,4.0284342765808105,0.0,-3.3089284896850586,0.0,133,0.02763512925406911,6.111225605010986,133,6.111225605010986,6.111225605010986,0.0
M-2022-4,116,4023,0.0,7.065855503082275,0.0,50,4.813772201538086,0.0,-2.2520833015441895,0.0,117,0.008451404424558787,7.171982765197754,117,7.171982765197754,7.171982765197754,0.0
M-2022-4,117,84936,0.0,8.95292854309082,0.0,122,3.879366159439087,0.0,-5.073562383651733,0.0,122,0.037251577658472264,3.879366159439087,122,3.879366159439087,3.879366159439087,0.0
M-2022-4,118,3760,0.0,6.294064998626709,0.0,90,6.107024192810059,0.0,-0.1870408058166504,0.0,90,0.010106382978723405,6.107024192810059,90,6.107024192810059,6.107024192810059,0.0
M-2022-4,119,2846,0.0,6.056201457977295,0.0,120,2.9443697929382324,0.0,-3.1118316650390625,0.0,120,0.06324666198172874,2.9443697929382324,120,2.9443697929382324,2.9443697929382324,0.0
M-2022-4,120,2918,0.0,5.679367542266846,0.0,119,2.9443697929382324,0.0,-2.7349977493286133,0.0,119,0.05757368060315284,2.9443697929382324,119,2.9443697929382324,2.9443697929382324,0.0
M-2022-4,121,2543,0.0,4.763487339019775,0.0,120,3.3846938610076904,0.0,-1.378793478012085,0.0,119,0.02162799842705466,4.629248142242432,119,4.629248142242432,4.629248142242432,0.0
M-2022-4,122,61426,0.0,8.510601043701172,0.0,117,3.879366159439087,0.0,-4.631234884262085,0.0,117,0.05040210985576141,3.879366159439087,117,3.879366159439087,3.879366159439087,0.0
M-2022-4,123,3393,0.0,6.087117671966553,0.0,50,4.912423610687256,0.0,-1.1746940612792969,0.0,68,0.15207780725022105,5.645855903625488,68,5.645855903625488,5.645855903625488,0.0
M-2022-4,124,30492,0.0,8.5126953125,0.0,14,4.67058801651001,0.0,-3.8421072959899902,0.0,25,0.007805325987144169,6.184355735778809,25,6.184355735778809,6.184355735778809,0.0
M-2022-4,125,3522,0.0,8.206790924072266,0.0,88,4.614440441131592,0.0,-3.592350482940674,0.0,29,0.008233957978421351,5.674258232116699,29,5.674258232116699,5.674258232116699,0.0
M-2022-4,126,2112,0.0,7.063601016998291,0.0,93,4.347023010253906,0.0,-2.7165780067443848,0.0,153,0.020833333333333332,5.529016971588135,153,5.529016971588135,5.529016971588135,0.0
M-2022-4,127,3002,0.0,7.760295867919922,0.0,143,3.843052625656128,0.0,-3.917243242263794,0.0,117,0.00899400399733511,6.884161949157715,117,6.884161949157715,6.884161949157715,0.0
M-2022-4,128,2342,0.0,6.367801189422607,0.0,126,5.501454830169678,0.0,-0.8663463592529297,0.0,153,0.007258753202391118,5.7649383544921875,153,5.7649383544921875,5.7649383544921875,0.0
M-2022-4,129,44177,0.0,7.666927814483643,0.0,14,3.9953043460845947,0.0,-3.671623468399048,0.0,153,0.010299477103470131,6.605562686920166,153,6.605562686920166,6.605562686920166,0.0
M-2022-4,130,7092,0.0,6.504999160766602,0.0,90,5.612221717834473,0.0,-0.8927774429321289,0.0,156,0.01071630005640158,7.340351104736328,156,7.340351104736328,7.340351104736328,0.0
M-2022-4,131,30533,0.0,5.98238468170166,0.0,133,5.831533908843994,0.0,-0.15085077285766602,0.0,133,0.024039563750695967,5.831533908843994,133,5.831533908843994,5.831533908843994,0.0
M-2022-4,132,23157,0.0,6.619006156921387,0.0,134,4.959164142608643,0.0,-1.6598420143127441,0.0,131,0.06373882627283327,6.405720233917236,131,6.405720233917236,6.405720233917236,0.0
